Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2947061,-,-,-,30.12,-95.43,-6,38,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,0,0.5,1.45,0.117,0.63,0,0,0,0,7,-4.1000000000000005,0,0,0,0,0.302,71.11,170.93,0.9500000000000001,0.14,1030,1,3,3.4000000000000004
2018,1,1,1,0,0,1.45,0.105,0.63,0,0,0,0,4,-5,0,0,0,0,0.304,68.94,169.46,0.9500000000000001,0.14,1030,1,7,3.4000000000000004
2018,1,1,2,0,-0.5,1.46,0.092,0.63,0,0,0,0,4,-5.6000000000000005,0,0,0,0,0.304,68.37,157.69,0.9500000000000001,0.14,1031,1,8,3.2
2018,1,1,3,0,-0.9,1.46,0.079,0.63,0,0,0,0,7,-6.1000000000000005,0,0,0,0,0.304,67.62,144.83,0.9400000000000001,0.14,1031,1,9,3
2018,1,1,4,0,-1.3,1.44,0.069,0.63,0,0,0,0,7,-6.7,0,0,0,0,0.304,66.63,131.88,0.9400000000000001,0.14,1031,1,9,3
2018,1,1,5,0,-1.6,1.44,0.061,0.63,0,0,0,0,4,-7.4,0,0,0,0,0.304,64.53,119.04,0.93,0.14,1032,1,9,2.9000000000000004
2018,1,1,6,0,-2,1.43,0.055,0.63,0,0,0,0,7,-8.200000000000001,0,0,0,0,0.305,62.730000000000004,106.48,0.93,0.14,1033,1,10,2.8000000000000003
2018,1,1,7,0,-2.3000000000000003,1.41,0.052000000000000005,0.63,0,0,0,0,7,-8.8,0,0,0,0,0.306,61.24,94.35000000000001,0.93,0.14,1034,1,13,2.9000000000000004
2018,1,1,8,0,-1.8,1.41,0.049,0.63,35,495,98,7,7,-9.8,61,18,7,63,0.307,54.54,82.76,0.92,0.14,1035,0.9,19,3.4000000000000004
2018,1,1,9,0,-0.9,1.41,0.048,0.63,59,753,287,0,7,-10.700000000000001,117,19,0,123,0.307,47.58,72.38,0.92,0.14,1035,1,23,3.6
2018,1,1,10,0,0.2,1.3900000000000001,0.055,0.63,75,854,456,0,7,-10.9,224,100,0,269,0.307,43.01,63.5,0.93,0.14,1035,1,24,3.6
2018,1,1,11,0,0.9,1.37,0.062,0.63,86,896,575,0,4,-10.9,275,40,0,297,0.307,41.11,56.88,0.9400000000000001,0.14,1035,1.1,22,3.3000000000000003
