Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2947061,-,-,-,30.12,-95.43,-6,38,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2021,1,1,0,0,5.9,1.23,0.117,0.63,0,0,0,0,4,2.9000000000000004,0,0,0,0,0.28200000000000003,81.2,170.9,0.96,0.14,1005,1.4000000000000001,239,3.3000000000000003
2021,1,1,1,0,5.1000000000000005,1.26,0.111,0.63,0,0,0,0,0,1.9000000000000001,0,0,0,0,0.28300000000000003,80.05,169.46,0.9500000000000001,0.14,1005,1.4000000000000001,243,3.3000000000000003
2021,1,1,2,0,4.4,1.29,0.097,0.63,0,0,0,0,0,1.3,0,0,0,0,0.28300000000000003,80.16,157.70000000000002,0.9500000000000001,0.14,1006,1.4000000000000001,243,3
2021,1,1,3,0,3.9000000000000004,1.3,0.08600000000000001,0.63,0,0,0,0,0,0.8,0,0,0,0,0.28300000000000003,80.26,144.85,0.9400000000000001,0.14,1007,1.4000000000000001,243,2.9000000000000004
2021,1,1,4,0,3.5,1.29,0.07100000000000001,0.63,0,0,0,0,0,0.5,0,0,0,0,0.28200000000000003,80.52,131.89000000000001,0.93,0.14,1007,1.3,246,2.7
2021,1,1,5,0,3.1,1.28,0.059000000000000004,0.63,0,0,0,0,0,0.30000000000000004,0,0,0,0,0.281,81.89,119.06,0.92,0.14,1009,1.3,250,2.5
2021,1,1,6,0,2.9000000000000004,1.26,0.052000000000000005,0.63,0,0,0,0,0,0.30000000000000004,0,0,0,0,0.279,82.81,106.49000000000001,0.92,0.14,1010,1.2000000000000002,253,2.1
2021,1,1,7,0,2.8000000000000003,1.26,0.048,0.63,0,0,0,0,0,0.30000000000000004,0,0,0,0,0.279,83.89,94.36,0.92,0.14,1011,1,251,2
2021,1,1,8,0,4.5,1.27,0.045,0.63,35,505,99,0,0,0.2,35,505,0,99,0.277,73.77,82.77,0.92,0.14,1012,0.9,258,2.5
2021,1,1,9,0,6.6000000000000005,1.28,0.043000000000000003,0.63,58,775,292,0,0,-0.2,58,775,0,292,0.276,61.93,72.39,0.92,0.14,1012,0.8,279,3.1
2021,1,1,10,0,8.3,1.29,0.042,0.63,70,885,465,0,0,0.2,70,885,0,465,0.276,56.870000000000005,63.49,0.92,0.14,1013,0.8,286,3.2
2021,1,1,11,0,9.8,1.29,0.042,0.63,76,932,586,0,0,0.9,76,932,0,586,0.277,53.82,56.870000000000005,0.92,0.14,1013,0.9,292,3.3000000000000003
2021,1,1,12,0,10.8,1.29,0.042,0.63,79,954,648,0,0,1.5,79,954,0,648,0.277,52.6,53.39,0.92,0.14,1012,0.9,297,3.2
2021,1,1,13,0,11.5,1.3,0.04,0.63,78,955,643,0,0,2.1,78,955,0,643,0.276,52.36,53.67,0.92,0.14,1011,0.9,301,3
2021,1,1,14,0,12,1.31,0.038,0.63,73,928,569,0,7,2.6,258,94,0,309,0.275,52.6,57.67,0.92,0.14,1011,1,304,2.7
2021,1,1,15,0,11.700000000000001,1.28,0.042,0.63,68,864,437,0,7,2.9000000000000004,153,479,0,358,0.274,54.94,64.69,0.92,0.14,1012,1,307,2.5
2021,1,1,16,0,10.5,1.28,0.044,0.63,56,738,261,0,7,3.4000000000000004,140,86,0,164,0.272,61.300000000000004,73.85000000000001,0.93,0.14,1013,1,314,2
2021,1,1,17,0,7.1000000000000005,1.28,0.046,0.63,30,430,72,7,8,4.3,48,12,7,49,0.272,82.3,84.38,0.93,0.14,1013,1,327,1
2021,1,1,18,0,5.800000000000001,1.29,0.047,0.63,0,0,0,0,8,3.9000000000000004,0,0,0,0,0.271,87.58,96.12,0.93,0.14,1014,1,339,1.1
2021,1,1,19,0,5.2,1.3,0.05,0.63,0,0,0,0,4,3.6,0,0,0,0,0.271,89.25,108.32000000000001,0.93,0.14,1015,1.1,343,1.1
2021,1,1,20,0,4.5,1.32,0.056,0.63,0,0,0,0,4,3.3000000000000003,0,0,0,0,0.272,91.81,120.94,0.93,0.14,1016,1.1,342,1.1
2021,1,1,21,0,3.8000000000000003,1.35,0.063,0.63,0,0,0,0,4,2.9000000000000004,0,0,0,0,0.272,93.98,133.8,0.9400000000000001,0.14,1017,1.1,342,1.1
2021,1,1,22,0,3.1,1.3800000000000001,0.07,0.63,0,0,0,0,4,2.5,0,0,0,0,0.272,95.85000000000001,146.76,0.9400000000000001,0.14,1017,1.2000000000000002,344,1
2021,1,1,23,0,2.5,1.3800000000000001,0.079,0.63,0,0,0,0,3,2.1,0,0,0,0,0.272,97.51,159.55,0.9400000000000001,0.14,1017,1.2000000000000002,341,0.9
2021,1,2,0,0,2,1.37,0.091,0.63,0,0,0,0,0,1.9000000000000001,0,0,0,0,0.271,99.10000000000001,170.76,0.9500000000000001,0.14,1017,1.2000000000000002,334,0.9
2021,1,2,1,0,1.6,1.34,0.10200000000000001,0.63,0,0,0,0,1,1.6,0,0,0,0,0.271,100,169.47,0.9500000000000001,0.14,1017,1.3,329,0.9
2021,1,2,2,0,1.4000000000000001,1.3,0.114,0.63,0,0,0,0,4,1.4000000000000001,0,0,0,0,0.271,100,157.76,0.96,0.14,1017,1.3,326,0.9
2021,1,2,3,0,1.7000000000000002,1.27,0.127,0.63,0,0,0,0,1,1.5,0,0,0,0,0.272,98.39,144.92000000000002,0.96,0.14,1017,1.4000000000000001,323,1
2021,1,2,4,0,1.9000000000000001,1.27,0.134,0.63,0,0,0,0,0,1.5,0,0,0,0,0.273,97.04,131.96,0.96,0.14,1017,1.3,317,1
2021,1,2,5,0,1.9000000000000001,1.29,0.13,0.63,0,0,0,0,4,1.5,0,0,0,0,0.276,97.19,119.12,0.96,0.14,1018,1.3,310,1
2021,1,2,6,0,1.9000000000000001,1.3,0.125,0.63,0,0,0,0,4,1.5,0,0,0,0,0.279,97.31,106.54,0.96,0.14,1018,1.3,306,1
2021,1,2,7,0,2.2,1.3,0.115,0.63,0,0,0,0,4,1.6,0,0,0,0,0.28300000000000003,96.04,94.4,0.9500000000000001,0.14,1019,1.2000000000000002,303,1.1
2021,1,2,8,0,4.5,1.31,0.098,0.63,42,391,91,0,4,1.9000000000000001,3,0,0,3,0.28700000000000003,83.51,82.8,0.9500000000000001,0.14,1020,1.2000000000000002,302,1.9000000000000001
2021,1,2,9,0,7.1000000000000005,1.37,0.063,0.63,64,727,283,0,0,1.4000000000000001,64,727,0,283,0.29,67.05,72.4,0.93,0.14,1021,1.1,318,2.4000000000000004
2021,1,2,10,0,9,1.45,0.049,0.63,72,861,456,0,0,1.5,72,861,0,456,0.293,59.45,63.480000000000004,0.92,0.14,1021,1.1,323,2.7
2021,1,2,11,0,10.700000000000001,1.5,0.039,0.63,74,931,584,0,0,2.2,74,931,0,584,0.295,55.54,56.82,0.91,0.14,1020,1,325,2.7
2021,1,2,12,0,12.100000000000001,1.54,0.03,0.63,71,963,647,0,0,2.8000000000000003,71,963,0,647,0.296,53.03,53.31,0.89,0.14,1019,1,326,2.8000000000000003
2021,1,2,13,0,13.100000000000001,1.54,0.028,0.63,70,964,642,0,0,3.2,70,964,0,642,0.295,51.2,53.57,0.89,0.14,1018,1,325,2.8000000000000003
2021,1,2,14,0,13.5,1.54,0.026000000000000002,0.63,66,943,572,0,0,3.4000000000000004,66,943,0,572,0.291,50.45,57.54,0.89,0.14,1017,1,324,2.7
2021,1,2,15,0,13.3,1.42,0.033,0.63,64,878,441,0,0,3.5,64,878,0,441,0.289,51.31,64.55,0.91,0.14,1017,1,323,2.4000000000000004
2021,1,2,16,0,11.8,1.43,0.031,0.63,51,764,266,0,0,5.7,51,764,0,266,0.28800000000000003,66.15,73.71000000000001,0.91,0.14,1017,1,320,1.2000000000000002
