Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2947061,-,-,-,30.12,-95.43,-6,38,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2022,1,1,0,0,22,0.93,0.1,0.63,0,0,0,0,0,21.6,0,0,0,0,0.258,97.81,170.93,0.96,0.14,1002,3.1,177,3.1
2022,1,1,1,0,22,0.91,0.088,0.63,0,0,0,0,0,21.700000000000003,0,0,0,0,0.258,98.27,169.45000000000002,0.96,0.14,1002,3,175,3.2
2022,1,1,2,0,22.200000000000003,0.87,0.076,0.63,0,0,0,0,0,21.8,0,0,0,0,0.258,97.76,157.68,0.96,0.14,1001,3,174,3.4000000000000004
2022,1,1,3,0,22.400000000000002,0.81,0.078,0.63,0,0,0,0,0,21.900000000000002,0,0,0,0,0.258,97.2,144.83,0.96,0.14,1001,3,175,3.7
2022,1,1,4,0,22.5,0.74,0.095,0.63,0,0,0,0,0,21.900000000000002,0,0,0,0,0.259,96.58,131.87,0.97,0.14,1001,3,177,3.8000000000000003
2022,1,1,5,0,22.5,0.67,0.11900000000000001,0.63,0,0,0,0,0,21.8,0,0,0,0,0.259,96.03,119.04,0.97,0.14,1001,3.2,180,3.8000000000000003
2022,1,1,6,0,22.5,0.67,0.14,0.63,0,0,0,0,3,21.700000000000003,0,0,0,0,0.26,95.47,106.47,0.97,0.14,1001,3.5,182,3.9000000000000004
2022,1,1,7,0,22.5,0.6,0.151,0.63,0,0,0,0,3,21.700000000000003,0,0,0,0,0.261,95.49,94.34,0.97,0.14,1001,3.7,186,4.1000000000000005
2022,1,1,8,0,23.200000000000003,0.48,0.156,0.63,50,216,77,0,3,21.900000000000002,27,0,0,27,0.262,92.5,82.77,0.98,0.14,1001,3.8000000000000003,191,4.2
2022,1,1,9,0,24.400000000000002,0.46,0.156,0.63,93,501,244,0,3,21.900000000000002,167,35,0,177,0.262,86.10000000000001,72.39,0.98,0.14,1001,4,200,4.4
2022,1,1,10,0,26.1,0.49,0.129,0.63,105,674,405,0,7,21.200000000000003,219,151,0,286,0.263,74.42,63.5,0.98,0.14,1002,4.1000000000000005,211,4.4
2022,1,1,11,0,27.400000000000002,0.55,0.099,0.63,103,778,528,0,3,20.6,196,1,0,197,0.264,66.28,56.88,0.97,0.14,1001,4,221,3.9000000000000004
2022,1,1,12,0,28.3,0.66,0.083,0.63,99,828,592,0,7,19.900000000000002,232,418,0,482,0.264,60.46,53.410000000000004,0.96,0.14,1000,3.7,233,3.3000000000000003
2022,1,1,13,0,28.5,0.8,0.069,0.63,91,851,595,0,8,19.200000000000003,220,412,0,464,0.265,57.25,53.7,0.96,0.14,999,3.3000000000000003,245,2.9000000000000004
2022,1,1,14,0,28.1,0.9400000000000001,0.06,0.63,83,841,532,0,8,18.7,179,490,0,441,0.266,56.7,57.7,0.9500000000000001,0.14,999,3,255,2.4000000000000004
2022,1,1,15,0,27,1.04,0.064,0.63,76,781,409,0,8,19,163,396,0,332,0.266,61.59,64.72,0.9400000000000001,0.14,999,2.7,263,1.7000000000000002
2022,1,1,16,0,25,1.1,0.058,0.63,59,666,244,0,7,20.400000000000002,125,35,0,134,0.266,75.46000000000001,73.89,0.9400000000000001,0.14,1000,2.5,276,0.8
2022,1,1,17,0,22.700000000000003,1.1400000000000001,0.054,0.63,30,371,66,7,7,19.8,43,8,7,44,0.267,83.53,84.43,0.93,0.14,1000,2.3000000000000003,292,0.7000000000000001
2022,1,1,18,0,21.5,1.16,0.052000000000000005,0.63,0,0,0,0,6,19.1,0,0,0,0,0.267,86.03,96.15,0.93,0.14,1002,2.1,309,0.8
2022,1,1,19,0,20.5,1.16,0.052000000000000005,0.63,0,0,0,0,8,18.3,0,0,0,0,0.267,87.42,108.36,0.93,0.14,1003,2,328,0.9
2022,1,1,20,0,19.8,1.1500000000000001,0.051000000000000004,0.63,0,0,0,0,7,17.400000000000002,0,0,0,0,0.267,85.9,120.98,0.93,0.14,1004,1.9000000000000001,345,0.9
2022,1,1,21,0,19,1.1500000000000001,0.048,0.63,0,0,0,0,8,16,0,0,0,0,0.267,82.7,133.84,0.92,0.14,1005,1.8,352,1.3
